Time(min),Coverage(%),MSD(um2)
50.2998,0.131845,1
50.3998,0.131941,1
50.4998,0.132084,1
50.5998,0.132179,1
50.6998,0.132322,1
50.7998,0.132465,1
50.8998,0.132704,1
50.9998,0.132895,1
51.0998,0.133181,1
51.1998,0.133371,1
51.2998,0.133562,1
51.3998,0.133801,1
51.4998,0.133944,1
51.5998,0.13423,1
51.6998,0.134468,1
51.7998,0.134802,1
51.8998,0.13504,1
51.9998,0.135231,1
52.0998,0.135422,1
52.1998,0.135612,4033
52.2998,0.135851,1
52.3998,0.136089,1
52.4998,0.136328,1
52.5998,0.136518,1
52.6998,0.136805,2017
52.7998,0.137091,1
52.8998,0.137424,1
52.9998,0.137568,1
53.0998,0.137854,1
53.1998,0.138187,1
53.2998,0.138426,1
53.3998,0.138617,1
53.4998,0.13895,1
53.5998,0.139141,1
53.6998,0.139332,1
53.7998,0.139666,1
53.8997,0.139809,1
53.9997,0.139999,1
54.0997,0.140238,1
54.1997,0.140476,2017
54.2997,0.140762,1
54.3997,0.141001,1
54.4997,0.141239,1
54.5997,0.141525,1
54.6997,0.141716,1
54.7997,0.141907,2017
54.8997,0.142241,1
54.9997,0.142574,1
55.0997,0.14286,1
55.1997,0.143194,1
55.2997,0.143433,1
55.3997,0.143576,1
55.4997,0.143862,1
55.5997,0.144196,1
55.6997,0.144434,1
55.7997,0.144672,2017
55.8997,0.144911,1
55.9997,0.145197,1
56.0997,0.145435,2017
56.1997,0.145721,1
56.2997,0.146103,1
56.3997,0.146389,1
56.4997,0.146627,1
56.5997,0.146866,1
56.6997,0.147057,1
56.7997,0.147247,1
56.8997,0.147343,1
56.9997,0.147581,1
57.0997,0.147915,1
57.1997,0.148201,1
57.2997,0.148487,1
57.3997,0.148678,1
57.4997,0.148869,1
57.5997,0.149012,1
57.6997,0.14925,1
57.7997,0.149488,1
57.8997,0.149775,1
57.9997,0.149918,1
58.0997,0.150204,1
58.1997,0.150442,1
58.2997,0.150681,1
58.3997,0.150967,2017
58.4997,0.151253,1
58.5997,0.151539,1
58.6997,0.15173,1
58.7997,0.151873,1
58.8997,0.152063,1
58.9997,0.152206,1
59.0997,0.152349,1
59.1997,0.152588,1
59.2997,0.152779,1
59.3997,0.153017,1
59.4997,0.153112,1
59.5997,0.153208,1
59.6997,0.153446,1
59.7997,0.153732,1
59.8997,0.154018,1
59.9997,0.154209,1
60.0997,0.1544,1
60.1997,0.154638,1
60.2997,0.154781,1
60.3997,0.154924,1
60.4996,0.155258,1
60.5996,0.155449,1
60.6996,0.15564,1
60.7996,0.155783,1
60.8996,0.155878,1
60.9996,0.156164,1
61.0996,0.156355,1
61.1996,0.15645,1
61.2996,0.156689,1
61.3996,0.156975,1
61.4996,0.157213,1
61.5996,0.157452,1
61.6996,0.157738,1
